arena_name,city_name
"State Farm Arena","Atlanta"
"TD Garden","Boston"
"Barclays Center","Brooklyn"
"Spectrum Center","Charlotte"
"United Center","Chicago"
"Rocket Mortgage FieldHouse","Cleveland"
"American Airlines Center","Dallas"
"Ball Arena","Denver"
"Little Caesars Arena","Detroit"
"Chase Center","San Francisco"
"Toyota Center","Houston"
"Gainbridge Fieldhouse","Indianapolis"
"Crypto.com Arena","Los Angeles"
"FedExForum","Memphis"
"FTX Arena","Miami"
"Fiserv Forum","Milwaukee"
"Target Center","Minneapolis"
"Smoothie King Center","New Orleans"
"Madison Square Garden","New York"
"Paycom Center","Oklahoma City"
"Amway Center","Orlando"
"Wells Fargo Center","Philadelphia"
"Footprint Center","Phoenix"
"Moda Center","Portland"
"Golden 1 Center","Sacramento"
"AT&T Center","San Antonio"
"Scotiabank Arena","Toronto"
"Vivint Arena","Salt Lake City"
"Capital One Arena","Washington"
